"date","y","pty","p","wg","v_u","ur","vr","short","iesr","iesr_citi","ielr_citi","catchup"
2006-04-01,1.40391148080852,1.65944434208916,5.26324489767447,4.40775809984437,0.378822266320271,5.50575,2.08570069279283,0.164026,2.5,2.3,3.4,0.22964598907085
2006-07-01,1.12235199314483,1.60323298147511,2.5502567298723,2.18579778883168,0.386500718855515,5.476115,2.11652238403547,-0.627205,2.5,2.3,3.4,0.191178102581115
2006-10-01,2.13237197531839,1.93930125175785,2.92000477801579,5.41280248743021,0.384632984951989,5.510167,2.11939198079395,-0.44934,2.7,2.5,3.6,0.46602280181738
2007-01-01,3.66541555176525,2.03436526576954,0.543592488191535,4.27811564669938,0.405518027604245,5.472364,2.21914225561248,-0.582909,2.7,2.5,3.5,0.119274723438525
2007-04-01,2.8526779951676,1.69322569763781,4.10244889153475,5.28409269472263,0.43050237512578,5.306344,2.28439369523443,-0.366487,2.7,2.4,3.5,0.0290757219035953
2007-07-01,2.88908686924287,1.85004782074842,-0.451580477575675,5.21519773525192,0.44503076574047,5.23918,2.33159628725216,-0.034817,2.7,2.6,3.6,-0.721383579958399
2007-10-01,2.38075166058991,1.51199425948589,4.07828150418368,2.06718806337705,0.442848482769299,5.177152,2.29269390826604,-0.144028,3,2.7,3.6,-0.631814398416428
2008-01-01,1.88059755747361,1.02761864766605,1.67248304113592,4.10260006687544,0.441142596566174,5.314263,2.34434777865555,0.154394,3.3,3.6,3.9,-0.349591760180332
2008-04-01,-2.1324083818044,1.18285086148462,7.98967993001014,4.06094858560735,0.394292806883534,5.48673,2.16337817231209,0.27781,4.3,4.6,3.8,0.622215999438516
2008-07-01,-6.19608352666177,0.379405614524586,4.96215874299502,2.01511761198283,0.337657372749903,5.968081,2.01516655081861,-0.52678,4.4,4.4,3.5,1.97565080458119
2008-10-01,-8.66241835223462,-0.491538639156408,0.491603139065333,3.00376880885267,0.258381829731573,6.511285,1.68239773220375,-0.686134,2.8,0.8,2.8,0.778981213301602
2009-01-01,-8.22186176737745,-1.03433193043609,-1.59836326137679,0.996264524980717,0.213068536742922,7.274436,1.54995343415003,0.201055,2.1,1.8,3.1,-0.338730362326575
2009-04-01,-1.28688124125773,-1.19570915497942,4.41341606183308,0,0.18788096329524,7.868461,1.47833403233103,-0.490405,2.4,2,3,-2.23279632937084
2009-07-01,0.306176576108896,-1.1892452511721,2.60829844670454,-1.99501660441577,0.188824746902383,7.868379,1.48574467320703,-0.48469,2.4,1.9,3,-2.92126140344346
2009-10-01,1.17137982949487,-1.23862015037921,2.90215705489203,0.99875207943505,0.20596859228771,7.729149,1.59196193911196,-0.613823,2.4,1.9,3.2,-0.718622924486787
2010-01-01,3.6748514179834,-0.376143633149395,2.96439247410163,3.97025591998776,0.203168926036944,7.952375,1.61567548819304,0.355832,2.5,2.3,3.3,1.12206600938282
2010-04-01,4.27790064591704,-0.587927671903898,5.11824362914979,0,0.209617013262402,7.820322,1.63927254039026,-0.041598,3.3,3,3.3,0.998272901211996
2010-07-01,2.33490327042034,0.269252131544384,1.1697156503871,2.95204291904909,0.195912788236762,7.897151,1.54715287153673,0.372097,3.4,2.9,3.2,0.638627202132638
2010-10-01,0.261395955372734,0.870533415294839,4.02971634794014,0.979192655456274,0.21251475885917,7.908611,1.68069655957598,0.702506,3.9,3.5,3.8,0.920517025394665
2011-01-01,1.09874457480288,1.08818223181801,5.8257716005258,2.9232773226898,0.20776020414612,7.716984,1.60328217123234,0.733531,4,3.5,3.5,1.53586180700071
2011-04-01,0.352636657633809,1.67673905432855,6.11116795203266,0.969697444602602,0.193862688216462,8.012875,1.55339748784248,0.202754,3.9,3.9,4.1,0.984092887721425
2011-07-01,1.22837052520168,1.2959688776037,2.42737267817361,1.93237090786589,0.190070328707082,8.36864,1.59063015563124,-0.540688,4.2,3.5,3.8,1.19850714466805
2011-10-01,0.503635113162204,1.29178336644573,3.80021137996636,2.88116491762338,0.193097180314756,8.346673,1.6117190213093,-0.034762,4.1,3.1,3.4,0.641130902674606
2012-01-01,3.47323592259414,0.696315484909737,1.38408685704334,0.955794958952438,0.193308096824297,8.165849,1.57852472914459,-0.35162,3.5,2.7,3.4,-0.569290283196008
2012-04-01,-0.478964081352728,0.161030735002088,3.26065984603794,1.90476550409748,0.201440577743007,8.028222,1.61720967792912,-0.695669,3.7,2.4,3.2,-1.18191730969469
2012-07-01,3.78668531172082,0.107296178513838,1.09071966458814,0.948992141452365,0.209763278325834,7.841456,1.64484951740778,-0.247777,3.2,2.7,3.5,-1.81608056309106
2012-10-01,-0.396678964905561,0.107758662399204,4.80390578354246,0.946746004106203,0.213936190519056,7.81148,1.67115827351579,-0.136183,3.5,2.7,3.3,-1.46515696219703
2013-01-01,1.33015440563042,0.0537923666731555,1.79880713451048,0,0.22185696703512,7.781208,1.72631520674941,-0.52802,3.6,2.8,3.5,-0.761476892830245
2013-04-01,2.67665602888769,-0.320171851760342,2.8830521841261,2.82686688923732,0.235124802720607,7.659877,1.80102706848911,-0.65172,3.6,2.5,3.3,-1.05587880830821
2013-07-01,3.29372522567439,-0.482060509619275,1.2055231786217,0.93786678370158,0.248651708900753,7.357112,1.82935847137424,-0.269898,3.2,2.5,3.3,-0.527177929799813
2013-10-01,2.66114492263654,-0.426896936901811,2.43645730657427,0.935672941268706,0.267610587893476,7.149466,1.91327279938442,-0.486822,3.6,2.6,3.4,-1.41904004904186
